intent,response,intent_special_chars,response_special_chars
Cold Medication,"Cetirizine Tablets(cetirizine Hydrochloride I.T), dose-10mg (children 5mg),CETIRIZINE (se TI ra zeen) prevents and treats allergy symptoms, such as red, itchy eyes, sneezing, a runny or stuffy nose, or hives. It works by blocking histamine, a substance released by the body during an allergic reaction.",['_'],"['(', ')', '(', ')', '(', ')']"
Other Cold Symptoms,"I'm here to provide general information, but I can't diagnose specific conditions or confirm if your symptoms indicate something more serious. If you're experiencing severe symptoms , or prolonged illness, it's best to consult a doctor for proper evaluation and treatment.","['_', '_']","['""']"
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Cold,please check which services do you want for cold?,[],[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Hairfall Yoga,"Adho Mukha Svanasana (Downward-Facing Dog), Uttanasana (Standing Forward Bend), Vajrasana (Diamond Pose), and Balayam yoga (rubbing fingernails) please do asanas by practice",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Fever Naturopathy Remedies,"sleep with an cotton cloth which covers your body on an plain and even bed with a bedsheet on it and now cover your body with wet bead sheet and sleep for few minutes,this even helpful for your high temperature,even though you are repeating with your symptoms please consult your physician",['_'],[]
BP remedies,Please let me know which type of BP remedies do you want?,['_'],[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Fever,which type of service do you need for fever?,[],[]
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Vomitings Ayurvedic Remedies,"This remedie is useful for healing vomitings,Take equal amounts of cloves (lavangam), cumin seeds (jelakarra), cinnamon (dhalchinachakka), and cardamom. Add a little water and grind them into a paste. Mix this paste with honey and consume it for better health benefits.",['_'],"['(', ')', '(', ')', '(', ')']"
heatwaves Remedies,please tell me which type of remedies do you want?,['_'],[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
other illeness Remedies,please check the remedies for other illeness,"['_', '_']",[]
Fever Home Remedies,"Take 5 grams of coriander seeds (Dhaniyalu), 3 grams of cumin seeds (Jeelakarra), and 5 grams of ginger, and lightly crush them. Add this mixture to a glass of boiling water and let it simmer until the liquid reduces to one-fourth of its original quantity. Strain the decoction and drink it warm to help reduce fever and chills if your symptoms getting worse please consult your doctor",['_'],"['(', ')', '(', ')']"
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Default Fallback Intent,I missed what you said. What was that?,[],[]
BP yoga,Practice Sasankasana and Sheetkari Pranayama (Cooling Pranayama) to help manage blood pressure.,['_'],"['(', ')']"
Cough Home Remedies,"Take a small piece of ginger and mix it with Sindhav Lavana (rock salt). Chew the mixture slowly in your mouth. This remedy is highly effective in relieving dry cough.                                                                                                                      
                                                                                   or                                                                                                           
Take one spoon of ajwain (carom seeds), a small amount of salt, and one clove. Grind them into a fine powder. Chew and swallow this mixture to help relieve chronic cough effectively.",['_'],"['(', ')', '(', ')']"
Vomitings Home Remedies,"Take equal amounts of ginger and onion, grind them into a paste, and filter it to extract the liquid. Consume this liquid every 2 hours and observe the result.",['_'],[]
Hairfall Home Remedies,"Take onion paste and apply it to your scalp. Let it dry for half an hour, then take a head bath. This helps with hair growth, reduces hair fall, and improves blood circulation to the scalp",['_'],[]
other illeness Remedies,please check the remedies for other illeness,"['_', '_']",[]
Stress Remedies,Please let me know which type of remedies do you want?,['_'],[]
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Stress,let me know which type of services do you want?,[],[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Confirm Common Fever,"Fever is usually a sign that your body is fighting an infection, If the fever persists for more than 3 days or is very high, consult a doctor. Let me know if you need home remedies or care tips!","['_', '_']","['""']"
Cough Diet,This is an pasting technique which is for 2 to 3 by taking lemon and honey water with some addition coconut water as a diet with steam inhaling hot water bath after 2 to 3 days based on your sickness drink plenty of water at morning a nd then honey water up to your lunch  and then evening take good fruit meat with some boiled vegetables,['_'],[]
other illeness Remedies,please check the remedies for other illeness,"['_', '_']",[]
Hairfall Yoga,"Adho Mukha Svanasana (Downward-Facing Dog), Uttanasana (Standing Forward Bend), Vajrasana (Diamond Pose), and Balayam yoga (rubbing fingernails) please do asanas by practice",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Constipation Yoga,"It is good to practice Malasana, as it provides multiple health benefits, including improved digestion, flexibility, and better blood circulation",['_'],[]
Constipation Yoga,"It is good to practice Malasana, as it provides multiple health benefits, including improved digestion, flexibility, and better blood circulation",['_'],[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Vomitings Remedies,Please let me know which type of remedies do you want?,['_'],[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Stress yoga,"Chandra Bhedana Pranayama – This practice stimulates the parasympathetic nervous system, helping to relax both the brain and body, promoting a sense of calmness.

Chandra Nadi Pranayama – A cooling and soothing breathing technique that helps balance emotions and reduces stress.

Bhramari Pranayama – Encourages positive thinking by stimulating the amygdala and relaxing the hypothalamus, which helps in emotional regulation and mental calmness.

Sheetali Pranayama – Lowers core body temperature, providing a cooling effect that leaves the body feeling refreshed and relaxed.",['_'],"['–', '–', '–', '–']"
Diarrhea Naturopathy Remedies,"Grind tender pomegranate fruit or pomegranate flowers into a smooth paste. Add a pinch of edible camphor(pacha karpooram) to this paste, Form small balls(small size soap nut) from the mixture. Consuming these balls with buttermilk can help relieve diarrhea                                                                                                                       please do check the goodness in your body after taking this or if you feel any dis comfort please consult your doctor",['_'],"['(', ')', '(', ')']"
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Headache Diet,"1.Increase water intake to 4 to 5 liters per day to help keep your body cool.
                                                         2.
Drinking enough water supports regular bowel movements (twice a day), helping to cleanse your stomach.
                                                          3.
Maintain a 2-hour gap between drinking water and meals for better digestion.
                                                            4.
Include fresh fruits in your diet for breakfast and in the evening.
                                                             5.
Take regular head baths to stay refreshed.
                                                         6.
Avoid coffee and tea for better health",['_'],"['(', ')']"
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Constipation Ayurvedic Remedies,Eat Neem fruit and spit out the seeds. This helps with good bowel movements,['_'],[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Vomitings,please let me know which type of services do you want?,[],[]
Confirm Malaria,It seem like malaria symptoms I would suggest you to please consult your doctor,['_'],[]
BP Diet,BP Diet Information,['_'],[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Diarrhea,which type of services do you want for Diarrhea?,[],[]
Fever Home Remedies,"Take 5 grams of coriander seeds (Dhaniyalu), 3 grams of cumin seeds (Jeelakarra), and 5 grams of ginger, and lightly crush them. Add this mixture to a glass of boiling water and let it simmer until the liquid reduces to one-fourth of its original quantity. Strain the decoction and drink it warm to help reduce fever and chills if your symptoms getting worse please consult your doctor",['_'],"['(', ')', '(', ')']"
Fever remedies,may i know which type of remedies do you want,['_'],[]
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
Cold Physical Activity,"Go jogging with natural and deep breathing, allowing yourself to inhale fresh air properly for about 20 minutes. After that, practice Surya Namaskar to help your body absorb more oxygen for an extended period. Finally, perform Pranayama only if needed to further enhance your breathing and overall well-being.","['_', '_']",[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Diarrhea Naturopathy Remedies,"Grind tender pomegranate fruit or pomegranate flowers into a smooth paste. Add a pinch of edible camphor(pacha karpooram) to this paste, Form small balls(small size soap nut) from the mixture. Consuming these balls with buttermilk can help relieve diarrhea                                                                                                                       please do check the goodness in your body after taking this or if you feel any dis comfort please consult your doctor",['_'],"['(', ')', '(', ')']"
Cough Remedies,Please let me know which type of remedies do you want?,['_'],[]
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Stress yoga,"Chandra Bhedana Pranayama – This practice stimulates the parasympathetic nervous system, helping to relax both the brain and body, promoting a sense of calmness.

Chandra Nadi Pranayama – A cooling and soothing breathing technique that helps balance emotions and reduces stress.

Bhramari Pranayama – Encourages positive thinking by stimulating the amygdala and relaxing the hypothalamus, which helps in emotional regulation and mental calmness.

Sheetali Pranayama – Lowers core body temperature, providing a cooling effect that leaves the body feeling refreshed and relaxed.",['_'],"['–', '–', '–', '–']"
Other illeness Fits,coriander leaves or powder with hot water can helps for fits patient,"['_', '_']",[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Cough,Which type of services do you want for Cough?,[],[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
BP Ayurvedic Remedies,"Add garlic to your diet to help reduce high blood pressure. Fenugreek contains calcium, fiber, and helps reduce bad cholesterol. Dark chocolate also helps reduce hypertension. Eat bananas for a good potassium intake, which helps lower blood pressure",['_'],[]
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
heatwaves,let me know which type of services do you want for heatwaves?,[],[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Cold,please check which services do you want for cold?,[],[]
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
Cough Medication,"MONADRYL cough syrup (Diphenhydramine Hydrochloride, Ammonium Chloride , Sodium Chloride, Sodium Citrate & Menthol Syrup) dose-200mg 100ml cause-this Syrup helps to loosen thick mucus and reduces its stickiness, making it easier to cough out. This makes it easier for air to move in and out. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily.",['_'],"['(', '&', ')']"
Headache Diet,"1.Increase water intake to 4 to 5 liters per day to help keep your body cool.
                                                         2.
Drinking enough water supports regular bowel movements (twice a day), helping to cleanse your stomach.
                                                          3.
Maintain a 2-hour gap between drinking water and meals for better digestion.
                                                            4.
Include fresh fruits in your diet for breakfast and in the evening.
                                                             5.
Take regular head baths to stay refreshed.
                                                         6.
Avoid coffee and tea for better health",['_'],"['(', ')']"
Confirm Cluster Headache,"Cluster headaches are extremely painful headaches that occur in cycles, usually affecting one side of the head, often around the eye,To manage symptoms, maintain a consistent sleep schedule, avoid known triggers, and practice relaxation techniques. If episodes are frequent or severe, consult a doctor for medical treatment.","['_', '_']",[]
Confirm Low BP,"Your symptoms suggest low blood pressure. While I can provide basic information, a medical professional is best suited to assess your condition. Please consider seeking medical advice from a doctor for appropriate care.","['_', '_']",[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
heatwaves Remedies,please tell me which type of remedies do you want?,['_'],[]
heatwaves Ayurvedic Remedies,"Take equal amounts of Tippatiga (Balloon Vine) dried leaves, Usori Gavaravu (Gooseberry), and Parpatakam (Fumaria Indica) and grind them into a fine powder. Take 20 to 30 grams of this powder and add it to 4 glasses of water. Boil the mixture until it reduces to 1 glass,For best results, consume 2 to 3 tablespoons of the warm decoction morning and evening.",['_'],"['(', ')', '(', ')', '(', ')']"
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
heatwaves Remedies,please tell me which type of remedies do you want?,['_'],[]
Constipation Ayurvedic Remedies,Eat Neem fruit and spit out the seeds. This helps with good bowel movements,['_'],[]
Other illeness Piles,lemon with milk immediate consumption  can helps for piles,"['_', '_']",[]
Default Welcome Intent,Hi! How are you doing?,[],[]
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Confirm Low BP,"Your symptoms suggest low blood pressure. While I can provide basic information, a medical professional is best suited to assess your condition. Please consider seeking medical advice from a doctor for appropriate care.","['_', '_']",[]
Cold Medication,"Cetirizine Tablets(cetirizine Hydrochloride I.T), dose-10mg (children 5mg),CETIRIZINE (se TI ra zeen) prevents and treats allergy symptoms, such as red, itchy eyes, sneezing, a runny or stuffy nose, or hives. It works by blocking histamine, a substance released by the body during an allergic reaction.",['_'],"['(', ')', '(', ')', '(', ')']"
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Diarrhea Medication,"LOPAMIDE (Lopamide hydrochloride tablets I.P.)  Dose-2mg cause-Lopamide Tablet is an anti-diarrhoeal medication. It works by slowing down the contraction of the intestines thereby decreasing the speed at which the contents pass through it. This allows more time for reabsorption of fluids and nutrients, making the stools more solid and less frequent.",['_'],"['(', ')']"
heatwaves,let me know which type of services do you want for heatwaves?,[],[]
Fever Naturopathy Remedies,"sleep with an cotton cloth which covers your body on an plain and even bed with a bedsheet on it and now cover your body with wet bead sheet and sleep for few minutes,this even helpful for your high temperature,even though you are repeating with your symptoms please consult your physician",['_'],[]
Confirm Food Poisoning,"Food poisoning occurs when contaminated food or water causes infection in the digestive system,If symptoms are severe seek medical attention","['_', '_']",[]
Cough Diet,This is an pasting technique which is for 2 to 3 by taking lemon and honey water with some addition coconut water as a diet with steam inhaling hot water bath after 2 to 3 days based on your sickness drink plenty of water at morning a nd then honey water up to your lunch  and then evening take good fruit meat with some boiled vegetables,['_'],[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Headache Diet,"1.Increase water intake to 4 to 5 liters per day to help keep your body cool.
                                                         2.
Drinking enough water supports regular bowel movements (twice a day), helping to cleanse your stomach.
                                                          3.
Maintain a 2-hour gap between drinking water and meals for better digestion.
                                                            4.
Include fresh fruits in your diet for breakfast and in the evening.
                                                             5.
Take regular head baths to stay refreshed.
                                                         6.
Avoid coffee and tea for better health",['_'],"['(', ')']"
other illeness Remedies,please check the remedies for other illeness,"['_', '_']",[]
Confirm Sinus Headache,"A sinus headache occurs due to inflammation or congestion in the sinuses, often caused by infections, allergies, or cold weather,To relieve it, try steam inhalation, stay hydrated, use a warm compress, and avoid allergens. If symptoms persist or worsen, consult a doctor","['_', '_']",[]
Welocme Intent,"Welcome to our MedicalBot, these are the service available in this bot.",['_'],[]
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
Headache  Ayurvedic Remedies,Take a handful of coriander seeds (dhaniyalu) and mix them with a little water to make a thick paste. Apply this paste to the affected area (maadu),['_'],"['(', ')', '(', ')']"
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Cough Home Remedies,"Take a small piece of ginger and mix it with Sindhav Lavana (rock salt). Chew the mixture slowly in your mouth. This remedy is highly effective in relieving dry cough.                                                                                                                      
                                                                                   or                                                                                                           
Take one spoon of ajwain (carom seeds), a small amount of salt, and one clove. Grind them into a fine powder. Chew and swallow this mixture to help relieve chronic cough effectively.",['_'],"['(', ')', '(', ')']"
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
Cold Physical Activity,"Go jogging with natural and deep breathing, allowing yourself to inhale fresh air properly for about 20 minutes. After that, practice Surya Namaskar to help your body absorb more oxygen for an extended period. Finally, perform Pranayama only if needed to further enhance your breathing and overall well-being.","['_', '_']",[]
Hairfall Remedies,Please let me know which type of remedies do you want?,['_'],[]
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Confirm Wet Cough,"Wet cough, also known as a productive cough, is characterized by mucus or phlegm production. It can be caused by several conditions so please consult physician for better treatment","['_', '_']",[]
Vomitings Symptom Check,please check the  vomitings symptoms,"['_', '_']",[]
Vomitings Home Remedies,"Take equal amounts of ginger and onion, grind them into a paste, and filter it to extract the liquid. Consume this liquid every 2 hours and observe the result.",['_'],[]
BP Diet,BP Diet Information,['_'],[]
Vomitings Ayurvedic Remedies,"This remedie is useful for healing vomitings,Take equal amounts of cloves (lavangam), cumin seeds (jelakarra), cinnamon (dhalchinachakka), and cardamom. Add a little water and grind them into a paste. Mix this paste with honey and consume it for better health benefits.",['_'],"['(', ')', '(', ')', '(', ')']"
Fever remedies,may i know which type of remedies do you want,['_'],[]
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Default Welcome Intent,Greetings! How can I assist?,[],[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Stress Home Remedie,take 3 to 4 Tulasi leaves chew and swallow reduces stress and pressure and improves the energy,['_'],[]
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
